Camera_Review_Title,Camera_Review,Camera_Reviewer_Name,Camera_Reviewer_Location,Camera_Review_Date,Camera_review_Likes,Camera_Review_Dislikes,Sentiment_Text,Sentiment,Sentiment_Score
fabulous,every thing camera quality is better than any android mobile,kuldeep porwal,auraiya,202210,3.0,1.0,fabulous. every thing camera quality is better than any android mobile,Positive,0.9513557553291321
simply awesome,camera of this phone is too good this phone can click awesome pics in pitch dark room as well,vinod yadav,new town,202210,1.0,1.0,simply awesome. camera of this phone is too good this phone can click awesome pics in pitch dark room as well,Positive,0.7785195112228394
terrific purchase,phone is simply awesome camera quality is absolutely great easily can defeat the dslr camera,mahesh sethi,bomdila,202303,0.0,2.0,terrific purchase. phone is simply awesome camera quality is absolutely great easily can defeat the dslr camera,Positive,0.9518868923187256
fabulous,camera quality is awesome,piyush ranjan,patna,202308,0.0,0.0,fabulous. camera quality is awesome,Positive,0.9384511113166809
mind blowing purchase,really a awesome phone with great specs and camera quality top notch,pravin,coimbatore,202212,1.0,2.0,mind blowing purchase. really a awesome phone with great specs and camera quality top notch,Positive,0.9344587326049805
fabulous,camera quality is simply mesmerising,flipkart customer,dehradun,202210,0.0,0.0,fabulous. camera quality is simply mesmerising,Positive,0.9016715884208679
worth the money,a mobile phone is very good and it s camera quality is very good and nice love it,atharv gambhir,pune district,202301,4.0,1.0,worth the money. a mobile phone is very good and it s camera quality is very good and nice love it,Positive,0.671334981918335
best in the market,the camera quality is awesome,nandish chinnappa,bengaluru,202209,5.0,1.0,best in the market. the camera quality is awesome,Positive,0.8731892108917236
very good,front camera excellent but selfie very bad in low light condition,ajay kumar,bengaluru,202309,2.0,0.0,very good. front camera excellent but selfie very bad in low light condition,Positive,0.472493976354599
awesome,camera is beast,tapas jana,panskura,202306,1.0,0.0,awesome. camera is beast,Positive,0.8398160934448242
very good,great all round photo and video quality across all three cameras,shamim ahmad,navi mumbai,202209,0.0,0.0,very good. great all round photo and video quality across all three cameras,Positive,0.7006845474243164
classy product,the camera quality is amazing,flipkart customer,haldwani,202209,5.0,0.0,classy product. the camera quality is amazing,Positive,0.7389174699783325
worth every penny,camera takes very close to the life photos,abhay sachan,kanpur,202209,1.0,0.0,worth every penny. camera takes very close to the life photos,Positive,0.7191293239593506
terrific,camera quality is just osm,sushant kumar,kolkata,202303,0.0,0.0,terrific. camera quality is just osm,Positive,0.851818859577179
nice product,great camera and permorface,satyam tiwari,rewa,202210,2.0,1.0,nice product. great camera and permorface,Positive,0.5995997786521912
waste of money,as it is iphone it has superb camera quality,rekhan sanodiya,seoni,202407,,,waste of money. as it is iphone it has superb camera quality,Negative,0.5509182810783386
simply awesome,camera is top notch but better if you understand all the functions and capabilities first to utilise the camera fully,nilesh kapile,nashik,202210,22.0,0.0,simply awesome. camera is top notch but better if you understand all the functions and capabilities first to utilise the camera fully,Positive,0.7605277895927429
super,nice product and smooth mobile camera quality very nice plz buy this phone,flipkart customer,sanpara,202210,2.0,1.0,super. nice product and smooth mobile camera quality very nice plz buy this phone,Positive,0.8265595436096191
worth the money,camera is not that great struggles very much in high dynamic situations,rahul layek,gandhidham,202211,0.0,0.0,worth the money. camera is not that great struggles very much in high dynamic situations,Neutral,0.5516032576560974
simply awesome,camera quality is awesome love this phone,sagar patra,bengaluru,202307,75.0,5.0,simply awesome. camera quality is awesome love this phone,Positive,0.9389281868934631
perfect product,camera is good and premium handling,aru khan,lucknow,202211,2.0,0.0,perfect product. camera is good and premium handling,Positive,0.8312270045280457
wonderful,camera quality superb,aditya singh,new delhi,202302,28.0,2.0,wonderful. camera quality superb,Positive,0.8767420053482056
nice,back camera 1 back camera portrait 2 front camera portrait 3 has many dramatic modes overall camera performance is inferior to any entry level smartphones,nillohit mukherjee,howrah,202311,0.0,3.0,nice. back camera 1 back camera portrait 2 front camera portrait 3 has many dramatic modes overall camera performance is inferior to any entry level smartphones,Neutral,0.4495149552822113
super,camera mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures,rishi kumar,new delhi,202305,79.0,6.0,super. camera mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures,Positive,0.687568187713623
perfect product,camera mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures,mahesh jaiswara,raghunathpur hugli district,202210,6016.0,818.0,perfect product. camera mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures,Positive,0.8249143958091736
nice product,it came as i expected and the camera quality is awesome,flipkart customer,along,202306,0.0,0.0,nice product. it came as i expected and the camera quality is awesome,Positive,0.5766897201538086
